,СПИСОК УЧАСТНИКОВ,,,
,96.,"«ПРИБОЙ» ООО, станица Староминская, Россия","Квас, производство солода и концентрата квасного сусла и выпуск готовой продукции",95
,97.,"ПРОБРЮСЕРВИС, Красногорск, Россия","Всегда в наличии широкий ассортимент хмеля, дрожжей и солода",18
,98.,"ПРОСТЕКЛО, Видное, Россия","Простекло является поставщиком стеклянной тары для пива, сидра, вина и консервации",86
,99.,"«ПРОФЕССИОНАЛЬНАЯ МЕТРОЛОГИЯ» ООО, Москва, Россия","Метрология, инженерные проекты",6
,100.,"«ПРОЦЕССНЫЙ ИНЖИНИРИНГ» ООО, Москва, Россия",Ведущий поставщик комплексных технологических решений для предприятий пищевой промышленности,81
,101.,"РЕСТОРАНОВЕД, Санкт-Петербург, Россия","Журнал и сайт РЕСТОРАНОВЕД - медиаресурс для рестораторов, шеф-поваров и всех, кто связан с ресторанным бизнесом",-
,102.,"«РОКС» ООО 356236, с. Верхнерусское, Россия",Производство и реализация пива и пивных напитков премиум-класса под торговой маркой Brewsell,-
,103.,"РОССИЙСКИЙ ПРОДОВОЛЬСТВЕННЫЙ РЫНОК журнал, Санкт-Петербург, Россия","Международный информационно-аналитический журнал для специалистов сферы производства продуктов питания, упаковки, оборудования и торговли продовольственными товарами",100
,104.,"РОСТОВСКИЙ ЗАВОД ИНДУКЦИОННЫХ ПАРОГЕНЕРАТОРОВ, 
   Ростов-на-Дону, Россия",Производство электрических индукционных парогенераторов,30
,105.,"«РУСХМЕЛЬСОЛОД» ООО, Москва, Россия",Динамично развивающаяся компания в сфере производства и поставок сырья и материалов на пищевые и пивобезалкогольные предприятия России,97
,106.,"«САВИЦКИЙ И СЫНОВЬЯ» ООО, Псков, Россия",Мы варим одиннадцать классических сортов качественного и вкусного пива по классической рецептуре из оригинального сырья,111
,107.,"«СЕЛВИТ» ООО, Москва, Россия","Материалы для фильтрации пива, такие как кизельгур и фильтрующий картон",67
,108.,"«СИБИРСКАЯ ЛЕГЕНДА» Пивоваренный завод, Новосибирск, Россия",Производство разливного и фасованного пива и безалкогольных напитков,-
,109.,"«СИБИЭС» ООО, Москва, Россия","Продукты для пивоварения: натуральные, сбалансированные смеси растительных экстрактов (хмелевые, солодовые, фруктовые, и т. д.) для производства новых сортов пива",37
,110.,"«СИГМА-ТРЕЙД» ТОРГОВЫЙ ДОМ ООО, Краснодар, Россия","Компания «Сигма-Трейд», основанная в 2001 году, специализируется на обеспечении винодельческих и других пищевых предприятий необходимыми вспомогательными материалами, оборудованием, а также занимается полным оснащением лабораторий",80
,111.,"«СЛАВУТИЧ» ООО, Чебоксары, Россия",Теплообменные пластины и уплотнения к теплообменникам российского и зарубежного производства,24
,112.,"«СМИ РУССИА» ООО, Москва, Россия",Один из самых крупных изготовителей комплектных линий розлива и упаковочных машин,68
,113.,"СОВИТАЛ Завод холодильного оборудования, Нижнекамск, Россия",Разработка и производство профессионального холодильного оборудования,7
,114.,"СОЛИСОФТ ГК, Москва, Россия","Solisoft – разработчик программного обеспечения для автоматизации промышленных предприятий пивоваренной, молочной, пищевой и других перерабатывающих отраслей АПК",-
,115.,"«СОЛОДОВЕННЫЙ ЗАВОД СУФФЛЕ САНКТ-ПЕТЕРБУРГ» АО,
    Санкт Петербург, Россия",Производство и продажа солода,106
,116.,"СОЮЗ РОССИЙСКИХ ПИВОВАРОВ, Москва, Россия
  Официальный партнёр Форума","Крупнейшая некоммерческая организация, объединяющая российских производителей пивоваренной продукции и их смежников",-
,117.,"«СТАВРОПОЛЬСКИЙ ПИВОВАРЕННЫЙ ЗАВОД» ОАО, Ставрополь, Россия",Производство слабоалкогольной и безалкогольной продукции,-
,118.,"«СТРАТЕГИЯ–XXI» ООО, Санкт-Петербург, Россия","Спектр сырья охватывает всю линейку от базовых продуктов для классического пивоварения (солод, хмель, дрожжи) до специальных продуктов для промышленного (экстракты жженых солодов, модификаторы пива, ферменты) и крафтового (вкусо-ароматический хмель, спец солод и специи) пивоварения",86
,119.,"«СФЕРА» Издательский дом, Санкт-Петербург, Россия",Один из ведущих игроков российского рынка изданий B2B для пищевой промышленности и организатор отраслевых деловых мероприятий,-
,120.,"«СЫКТЫВКАРСКИЙ» Пивоваренный завод» АО, Сыктывкар, Россия
  Партнер регистрации Форума","Сыктывкарским пивоварам до сегодняшнего дня удалось сохранить принцип чистого пивоварения: чтобы сварить пиво, нужен только солод, хмель, дрожжи и вода",-
,121.,"«ТЕХНОФИЛЬТР» НПП ООО, Владимир, Россия",Производство и поставка широкого ассортимента фильтрующих элементов и оборудования для фильтрации,40
,122.,"«ТИХОРЕЦКИЙ ПИВОВАРЕННЫЙ ЗАВОД» ООО, Тихорецк, Россия",Производство пива и безалкогольных напитков,11
,123.,"«ТОВЕСОРБ» ООО, Уфа, Россия","Российский производитель порошковых силикагелей серии BriS, которые применяются для стабилизации и избирательной адсорбции из пива белков, снижающих его коллоидную стабильность",39
,124.,"«ТОКК Завод упаковочных изделий» ООО, п. Быково, Россия","Полный цикл изготовления кроненпробки, алюминиевых и металлопластиковых колпачков под газированные и алкогольные напитки, крышек типа «твист» любого цвета",28
,125.,"«ТОМСКОЕ ПИВО» ОАО, Томск, Россия
  Партнер вечернего приема Форума",Производство и реализация пива и безалкогольных напитков,-
,126.,"«ТОП-ТЕХНИКА» ООО, Барнаул, Россия","Компания ООО «ТОП-ТЕХНИКА» с 1999 года производит оборудование по выдуву ПЭТ бутылок, банок и другой тары марки «МВ-ПЭТ» для пивной и безалкогольной промышленности",-
,127.,"«ТОРГОВО-ПРОМЫШЛЕННАЯ КОМПАНИЯ-КРАСНОДАР» ООО, Сочи, Россия","Производство пива, пивных напитков и сидров",-
,128.,"«ТРАНСКЕМИКЛ-экспресс» АО, Воскресенск, Россия",Крупный поставщик и производитель отраслевой химии с 1989 г.,31
,129.,"«ТУЛЬСКИЙ СОЛОД» ООО, Москва, Россия",Оптовая торговля зерном,29
,130.,"ФЕРМЕРСКИЕ ДЕЛИКАТЕСЫ, с. Кирка, Республика Дагестан",Натуральные фермерские деликатесы,134
,131.,"«ФИЛЬТРМЕДИА» ЗАО, Москва, Россия",Поставщик современного фильтрующего оборудования и фильтрующих материалов для пищевой промышленности,23
,132.,"«ФОРЕЙН БРЕНДС» ООО, Санкт-Петербург, Россия","Импортёр пива, пивных напитков и безалкогольных напитков",-
,133.,"«ФРИГОГЛАСС ЕВРАЗИЯ» ООО, Орёл, Россия","Международный лидер в производстве решений для охлаждения и хранения напитков, медикаментов и других продуктов",84
,134.,"«ХАДЫЖЕНСКИЙ Пивоваренный завод» ООО, Хадыженск, Россия",Производство пива,-
,135.,"«ХМЕЛЬСЕРВИС» ООО, Москва, Россия","Компания «ХМЕЛЬСЕРВИС» обладает исключительными полномочиями в аккредитации дилеров на территории Российской Федерации, в рекламном продвижении продукции компании Morris Hanbury, в осуществлении деятельности по поставке и реализации хмелевой продукции на территории РФ",77
,136.,"«ХОЙФТ ЕВРАЗИЯ» ООО, Москва, Россия","Производитель высокотехнологичного инспекционного оборудования для инновационных автоматических решений в индустрии производства напитков, пищевых продуктов и продукции здравоохранения",79
,137.,"ХОПШТАЙНЕР, Майнбург, Германия",Производство и продажа хмелепродуктов,61
,138.,"«Центр координации поддержки экспортно ориентированных субъектов малого и 
  среднего предпринимательства Белгородской области» АНО, Белгород, Россия",Центр координации поддержки экспортно ориентированных субъектов малого и среднего предпринимательства Белгородской области,98
,139.,"ДРАГИН В.Н. ИП, с. Ездочное, Россия",Оптовая и розничная продажа закусок к пиву,98
,140.,"«СТАРАЯ КРЕПОСТЬ» ПИВОВАРЕННАЯ КОМПАНИЯ» ООО, Короча, Россия","Производство пива, минеральной воды, безалкогольных напитков, кваса",98
,141.,"«ШЕНБУШ» ООО, Калининград, Россия","Производство домашних лимонадов, газированных и негазированных напитков, безалкогольного пива",133
,142.,"ЭКВИНТ Группа компаний, Нижний Новгород, Россия","Поставка оборудования контроля качества для пива и напитков, комплексная автоматизация и роботизация промышленных предприятий Российской Федерации и стран СНГ",20
,143.,"ЭЛТЕМИКС ЛАБ ООО, Воронеж, Россия","Поставщик лабораторного оборудования, мебели, химреактивов и расходных материалов",8
,144.,"ЭнВиСи КАРБОН РУС, Санкт-Петербург, Россия",Один из крупнейших поставщиков и производителей активированных углей на российском рынке,4
,145.,"ЮЖНЫЙ ОСЁТР, х. Бураковский, Россия","Полный производственный цикл: от оплодотворения икры и выращивания малька до выращивания взрослой рыбы, переработки и производства готовой продукции, включая собственное икорное производство",147
